Target Return,Iteration,OOS Mean,OOS Variance
0.020000,11,0.018629,0.000430
0.020000,12,-0.000157,0.001277
0.020000,13,-0.002614,0.000660
0.020000,14,0.010105,0.002620
0.020000,15,0.020833,0.001565
0.020000,16,-0.009861,0.002373
0.020000,17,-0.009580,0.001719
0.020000,18,0.000503,0.002925
0.020000,19,0.005868,0.003408
0.020000,20,0.030151,0.015917
0.020000,21,-0.027035,0.018797
0.020000,22,-0.008200,0.005379
0.020000,23,-0.015888,0.002646
0.020000,24,0.010547,0.001745
0.020000,25,0.000750,0.001709
0.020000,26,0.008983,0.001463
0.020000,27,0.003613,0.001709
0.020000,28,-0.001470,0.000479
0.020000,29,0.005823,0.000777
0.020000,30,0.001052,0.000819
0.020000,31,0.007966,0.000762
0.020000,32,0.000769,0.006002
0.020000,33,0.010595,0.001314
0.020000,34,0.000683,0.002410
0.020000,35,0.007773,0.000817
0.020000,36,0.001257,0.001723
0.020000,37,0.002540,0.000924
0.020000,38,0.020690,0.001295
0.020000,39,0.016585,0.001298
0.020000,40,-0.001563,0.003200
0.020000,41,0.009271,0.000945
0.020000,42,0.012974,0.000852
0.020000,43,0.002543,0.003496
0.020000,44,0.008187,0.001630
0.020000,45,-0.002437,0.001326
0.020000,46,0.016327,0.001167
0.020000,47,-0.004329,0.002764
0.020000,48,-0.002750,0.001556
0.020000,49,0.016187,0.002020
0.020000,50,0.029609,0.007220
0.025000,1,0.019161,0.002288
0.025000,2,0.017658,0.001785
0.025000,3,-0.010584,0.001008
0.025000,4,-0.007077,0.000237
0.025000,5,0.013135,0.000775
0.025000,6,0.012764,0.001773
0.025000,7,0.021633,0.000540
0.025000,8,0.023873,0.000915
0.025000,9,-0.008887,0.002974
0.025000,10,0.000638,0.001502
0.025000,11,0.022395,0.000643
0.025000,12,-0.001504,0.001742
0.025000,13,-0.004042,0.000937
0.025000,14,0.013676,0.003750
0.025000,15,0.026707,0.002229
0.025000,16,-0.011051,0.002459
0.025000,17,-0.011029,0.002896
0.025000,18,0.006798,0.008219
0.025000,19,0.008467,0.005629
0.025000,20,0.036184,0.022682
0.025000,21,-0.029499,0.027747
0.025000,22,-0.013084,0.008404
0.025000,23,-0.023630,0.004451
0.025000,24,0.012794,0.002604
0.025000,25,-0.001051,0.002610
0.025000,26,0.013445,0.002121
0.025000,27,0.001759,0.002609
0.025000,28,-0.002422,0.000753
0.025000,29,0.004876,0.001608
0.025000,30,0.000019,0.001282
0.025000,31,0.004881,0.001098
0.025000,32,0.000061,0.008966
0.025000,33,0.014209,0.001982
0.025000,34,0.000309,0.003511
0.025000,35,0.008326,0.001191
0.025000,36,0.000452,0.002501
0.025000,37,0.003831,0.001378
0.025000,38,0.024708,0.001915
0.025000,39,0.020073,0.001853
